site,city,region,spn,function
C3056001,Melbourne,australia-southeast-portia,INETONLY
C3160028,Jarinu,sa-east-1,south-america-east-mesquite,INETONLY
C3160038,Sao-Paulo,sa-east-1,south-america-east-mesquite,INETONLY
C3162010,Lampa,chile,south-america-west-daisy,INETONLY
C3163002,Cali,columbia,us-southeast-hazel,INETONLY
C3180024,Mexico-City,mexico-central,us-south-avocado,INETONLY
C3180036,Cuautitlan,mexico-central,us-south-avocado,INETONLY
C3180028,Uruapan,mexico-central,us-south-avocado,INETONLY
C3180040,Zapopan,mexico-central,us-south-avocado,INETONLY
C3180044,Ecatepec-de-Morelos,mexico-central,us-south-avocado,INETONLY
C3180048,Jalisco,mexico-central,us-south-avocado,INETONLY
C3180052,Escobedo,mexico-central,us-south-avocado,INETONLY
C3180056,Reynosa-Tamaulipas,mexico-central,us-south-avocado,INETONLY
CC3180063,Tultitlan-Estado-de-Mexico,mexico-central,us-south-avocado,INETONLY
C3180080,San-Nicolas-de-los-Garza,mexico-central,us-south-avocado,INETONLY
C3180091,Guatemala,mexico-central,us-south-avocado,INETONLY
C3180100,Hidalgo,mexico-central,us-south-avocado,INETONLY
C3192021,Kent,us-west-2,us-northwest-tanoak,INETONLY
C3192022,Tulsa,us-east-2,us-central-koelreuteria,INETONLY
C3192040,Bowling-Green,us-east-1,us-east-lilac,INETONLY
C3192048,Oakville-Ontario,canada-central,canada-central-toronto-jacaranda,INETONLY
C3192052,Drummondville-Quebec,canada-central,canada-central-toronto-jacaranda,INETONLY
C3192068,Philadelphia,us-east-1,us-east-lilac,INETONLY
C3192084,Alabama,us-east-1,us-east-lilac,INETONLY
C3192138,Hickory,us-east-1,us-east-lilac,INETONLY
C3192140,Conover,us-east-1,us-east-lilac,INETONLY
C3192144,Charlotte,us-east-1,us-east-lilac,INETONLY
C3193008,Appleton,us-east-1,us-east-lilac,INETONLY
C3193018,Menasha,us-east-1,us-east-lilac,INETONLY
C3193022,Neenah,us-east-1,us-east-lilac,INETONLY
C3193056,Middletown,us-east-1,us-east-lilac,INETONLY
C3193064,Danville,us-east-1,us-east-lilac,INETONLY
C3193066,Neenah,us-east-1,us-east-lilac,INETONLY
C3192084,Alabama,us-east-1,us-east-lilac,INETONLY
C3193076,Harrodsburg,us-east-1,us-east-lilac,INETONLY
C3241128,Gothenburg,sweden,europe-north-stockholm-aspen,INETONLY


###########################################################################################
C3160028,Jarinu,sa-east-1,south-america-east-mesquite,FDONLY
C3180044,Ecatepec-de-Morelos,columbia,us-southeast-hazel,FDONLY
C3162010,Lampa,chile,south-america-west-daisy,FDONLY
C3180052,Escobedo,mexico-central,us-south-avocado,FDONLY
C3180056,Reynosa-Tamaulipas,mexico-central,us-south-avocado,FDONLY
C3180080,San-Nicolas-de-los-Garza,mexico-central,us-south-avocado,FDONLY
C3180100,Hidalgo,mexico-central,us-south-avocado,FDONLY
C3192040,Bowling-Green,us-east-1,us-east-lilac,FDONLY
C3192052,Drummondville-Quebec,canada-central,canada-central-toronto-jacaranda,FDONLY
C3192084,Alabama,us-east-1,us-east-lilac,FDONLY
C3192140,Conover,us-east-1,us-east-lilac,FDONLY
C3193018,Menasha,us-east-1,us-east-lilac,FDONLY
C3193022,Neenah,us-east-1,us-east-lilac,FDONLY
C3193056,Middletown,us-east-1,us-east-lilac,FDONLY
C3193064,Danville,us-east-1,us-east-lilac,FDONLY
C3193066,Neenah,us-east-1,us-east-lilac,FDONLY
C3193076,Harrodsburg,us-east-1,us-east-lilac,FDONLY


Done Asaleo:
C3050022,Penrose,new-zealand,australia-southeast-basswood,208.127.169.10,INET
C3055004,Kewdale,australia-south,australia-south-oleander,0000,INET
CC3050160,Tauriko,new-zealand,australia-southeast-basswood,208.127.169.10,INET
C3050220,Hillsborough,new-zealand,australia-southeast-basswood,208.127.169.10,INET
C3055020,Springvale,australia-south,australia-south-oleander,165.85.241.104,INET
C3055040,Altona,australia-south,australia-south-oleander,165.85.241.104,INET
C3055044,Larapinta,australia-east,australia-southeast-basswood,208.127.169.10,INET
C3055070,Erskine-Park,australia-south,australia-south-oleander,165.85.241.104,INET
C3055080,Rhodes,australia-south,australia-south-oleander,165.85.241.104,INET
C3055092,Wacol,australia-east,australia-southeast-basswood,208.127.169.10,INET
C3055164,Athol-Park,australia-south,australia-south-oleander,165.85.241.104,INET
C3055166,Osborne-Park,australia-south,australia-south-oleander,165.85.241.104,INET
C3010008,Suva,australia-east,australia-southeast-basswood,208.127.169.10,INET
C3010018,Nadi,australia-east,australia-southeast-basswood,208.127.169.10,INET
C3010022,Labasa,australia-east,australia-southeast-basswood,208.127.169.10,INET
C3010026,Vatuwaqa,australia-east,australia-southeast-basswood,208.127.169.10,INET
C3050048,New-Market,new-zealand,australia-southeast-basswood,208.127.169.10,INET
C3050096,Kawerau,new-zealand,australia-southeast-basswood,208.127.169.10,INET
C3050144,Cloverlea,new-zealand,australia-southeast-basswood,208.127.169.10,INET

C3241128,Gothenburg,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3112044,Neuss,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3172024,Nokia-Factory,finland,europe-north-fig,134.238.43.28,INET
C3064072,Vibraye,eu-west-3,france-north-mombin,165.85.254.100,INET

C3172126,Stubbins,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3204036,Puigpelat,spain-central,europe-southwest-palm,165.85.237.198,INET
C3176008,Zeist,netherlands-central,europe-west-jurema,134.238.139.252,INET


C3112044,Neuss,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3112096,Aschheim,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3113008,Emmerich,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3144024,Ortmann,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3212008,Gemerska,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3016032,Stembert,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3076008,Schenkon,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3112034,Kostheim,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3112246,Zagreb,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3113016,Hamburg,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3113032,Langenhagen,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3113048,Hamburg_ausbruch,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3144008,Vienna,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3016016,Diegem,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3016046,Stembert-Warehouse,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3196008,Athens,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3212096,Behynce,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3214008,Bukarest,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3216008,Prague,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3220008,Budapest,eu-central-1,europe-central-kudzu,134.238.213.197,INET
